Elephant,BufferDistance,Type,Month,EventCount
E3,50,Bounce,2024-10-01T00:00:00Z,1
E3,50,Bounce,2024-12-01T00:00:00Z,9
E3,50,Bounce,2025-03-01T00:00:00Z,2
E3,50,Bounce,2025-04-01T00:00:00Z,1
E3,50,Bounce,2025-06-01T00:00:00Z,1
E3,50,Bounce,2025-07-01T00:00:00Z,1
E3,50,Crossing,2024-02-01T00:00:00Z,19
E3,50,Crossing,2024-03-01T00:00:00Z,16
E3,50,Crossing,2024-04-01T00:00:00Z,34
E3,50,Crossing,2024-05-01T00:00:00Z,26
E3,50,Crossing,2024-06-01T00:00:00Z,21
E3,50,Crossing,2024-07-01T00:00:00Z,9
E3,50,Crossing,2024-08-01T00:00:00Z,14
E3,50,Crossing,2024-09-01T00:00:00Z,24
E3,50,Crossing,2024-10-01T00:00:00Z,18
E3,50,Crossing,2024-11-01T00:00:00Z,12
E3,50,Crossing,2024-12-01T00:00:00Z,28
E3,50,Crossing,2025-01-01T00:00:00Z,8
E3,50,Crossing,2025-02-01T00:00:00Z,13
E3,50,Crossing,2025-03-01T00:00:00Z,15
E3,50,Crossing,2025-04-01T00:00:00Z,30
E3,50,Crossing,2025-05-01T00:00:00Z,17
E3,50,Crossing,2025-06-01T00:00:00Z,30
E3,50,Crossing,2025-07-01T00:00:00Z,24
E3,100,Bounce,2024-02-01T00:00:00Z,1
E3,100,Bounce,2024-03-01T00:00:00Z,1
E3,100,Bounce,2024-04-01T00:00:00Z,1
E3,100,Bounce,2024-10-01T00:00:00Z,1
E3,100,Bounce,2024-12-01T00:00:00Z,15
E3,100,Bounce,2025-01-01T00:00:00Z,1
E3,100,Bounce,2025-03-01T00:00:00Z,3
E3,100,Bounce,2025-04-01T00:00:00Z,2
E3,100,Bounce,2025-06-01T00:00:00Z,1
E3,100,Bounce,2025-07-01T00:00:00Z,1
E3,100,Crossing,2024-02-01T00:00:00Z,19
E3,100,Crossing,2024-03-01T00:00:00Z,16
E3,100,Crossing,2024-04-01T00:00:00Z,34
E3,100,Crossing,2024-05-01T00:00:00Z,26
E3,100,Crossing,2024-06-01T00:00:00Z,21
E3,100,Crossing,2024-07-01T00:00:00Z,9
E3,100,Crossing,2024-08-01T00:00:00Z,14
E3,100,Crossing,2024-09-01T00:00:00Z,24
E3,100,Crossing,2024-10-01T00:00:00Z,18
E3,100,Crossing,2024-11-01T00:00:00Z,12
E3,100,Crossing,2024-12-01T00:00:00Z,28
E3,100,Crossing,2025-01-01T00:00:00Z,8
E3,100,Crossing,2025-02-01T00:00:00Z,13
E3,100,Crossing,2025-03-01T00:00:00Z,15
E3,100,Crossing,2025-04-01T00:00:00Z,30
E3,100,Crossing,2025-05-01T00:00:00Z,17
E3,100,Crossing,2025-06-01T00:00:00Z,30
E3,100,Crossing,2025-07-01T00:00:00Z,24
E3,200,Bounce,2024-02-01T00:00:00Z,3
E3,200,Bounce,2024-03-01T00:00:00Z,1
E3,200,Bounce,2024-04-01T00:00:00Z,2
E3,200,Bounce,2024-07-01T00:00:00Z,1
E3,200,Bounce,2024-09-01T00:00:00Z,1
E3,200,Bounce,2024-10-01T00:00:00Z,3
E3,200,Bounce,2024-11-01T00:00:00Z,2
E3,200,Bounce,2024-12-01T00:00:00Z,14
E3,200,Bounce,2025-01-01T00:00:00Z,2
E3,200,Bounce,2025-02-01T00:00:00Z,1
E3,200,Bounce,2025-03-01T00:00:00Z,5
E3,200,Bounce,2025-04-01T00:00:00Z,2
E3,200,Bounce,2025-05-01T00:00:00Z,1
E3,200,Bounce,2025-06-01T00:00:00Z,1
E3,200,Crossing,2024-02-01T00:00:00Z,19
E3,200,Crossing,2024-03-01T00:00:00Z,16
E3,200,Crossing,2024-04-01T00:00:00Z,34
E3,200,Crossing,2024-05-01T00:00:00Z,26
E3,200,Crossing,2024-06-01T00:00:00Z,21
E3,200,Crossing,2024-07-01T00:00:00Z,9
E3,200,Crossing,2024-08-01T00:00:00Z,14
E3,200,Crossing,2024-09-01T00:00:00Z,24
E3,200,Crossing,2024-10-01T00:00:00Z,18
E3,200,Crossing,2024-11-01T00:00:00Z,12
E3,200,Crossing,2024-12-01T00:00:00Z,28
E3,200,Crossing,2025-01-01T00:00:00Z,8
E3,200,Crossing,2025-02-01T00:00:00Z,13
E3,200,Crossing,2025-03-01T00:00:00Z,15
E3,200,Crossing,2025-04-01T00:00:00Z,30
E3,200,Crossing,2025-05-01T00:00:00Z,17
E3,200,Crossing,2025-06-01T00:00:00Z,30
E3,200,Crossing,2025-07-01T00:00:00Z,24
E4,50,Bounce,2024-02-01T00:00:00Z,1
E4,50,Bounce,2024-07-01T00:00:00Z,1
E4,50,Bounce,2024-08-01T00:00:00Z,3
E4,50,Bounce,2024-09-01T00:00:00Z,3
E4,50,Bounce,2024-10-01T00:00:00Z,2
E4,50,Bounce,2024-11-01T00:00:00Z,2
E4,50,Bounce,2024-12-01T00:00:00Z,4
E4,50,Bounce,2025-01-01T00:00:00Z,2
E4,50,Bounce,2025-03-01T00:00:00Z,2
E4,50,Bounce,2025-06-01T00:00:00Z,1
E4,50,Crossing,2024-02-01T00:00:00Z,29
E4,50,Crossing,2024-03-01T00:00:00Z,28
E4,50,Crossing,2024-04-01T00:00:00Z,10
E4,50,Crossing,2024-05-01T00:00:00Z,26
E4,50,Crossing,2024-06-01T00:00:00Z,35
E4,50,Crossing,2024-07-01T00:00:00Z,9
E4,50,Crossing,2024-08-01T00:00:00Z,10
E4,50,Crossing,2024-09-01T00:00:00Z,18
E4,50,Crossing,2024-10-01T00:00:00Z,8
E4,50,Crossing,2024-11-01T00:00:00Z,14
E4,50,Crossing,2024-12-01T00:00:00Z,26
E4,50,Crossing,2025-01-01T00:00:00Z,12
E4,50,Crossing,2025-02-01T00:00:00Z,19
E4,50,Crossing,2025-03-01T00:00:00Z,18
E4,50,Crossing,2025-04-01T00:00:00Z,19
E4,50,Crossing,2025-05-01T00:00:00Z,11
E4,50,Crossing,2025-06-01T00:00:00Z,27
E4,50,Crossing,2025-07-01T00:00:00Z,19
E4,100,Bounce,2024-02-01T00:00:00Z,3
E4,100,Bounce,2024-03-01T00:00:00Z,2
E4,100,Bounce,2024-04-01T00:00:00Z,1
E4,100,Bounce,2024-07-01T00:00:00Z,1
E4,100,Bounce,2024-08-01T00:00:00Z,1
E4,100,Bounce,2024-09-01T00:00:00Z,3
E4,100,Bounce,2024-10-01T00:00:00Z,2
E4,100,Bounce,2024-11-01T00:00:00Z,1
E4,100,Bounce,2024-12-01T00:00:00Z,3
E4,100,Bounce,2025-01-01T00:00:00Z,1
E4,100,Bounce,2025-03-01T00:00:00Z,1
E4,100,Crossing,2024-02-01T00:00:00Z,29
E4,100,Crossing,2024-03-01T00:00:00Z,28
E4,100,Crossing,2024-04-01T00:00:00Z,10
E4,100,Crossing,2024-05-01T00:00:00Z,26
E4,100,Crossing,2024-06-01T00:00:00Z,35
E4,100,Crossing,2024-07-01T00:00:00Z,9
E4,100,Crossing,2024-08-01T00:00:00Z,10
E4,100,Crossing,2024-09-01T00:00:00Z,18
E4,100,Crossing,2024-10-01T00:00:00Z,8
E4,100,Crossing,2024-11-01T00:00:00Z,14
E4,100,Crossing,2024-12-01T00:00:00Z,26
E4,100,Crossing,2025-01-01T00:00:00Z,12
E4,100,Crossing,2025-02-01T00:00:00Z,19
E4,100,Crossing,2025-03-01T00:00:00Z,18
E4,100,Crossing,2025-04-01T00:00:00Z,19
E4,100,Crossing,2025-05-01T00:00:00Z,11
E4,100,Crossing,2025-06-01T00:00:00Z,27
E4,100,Crossing,2025-07-01T00:00:00Z,19
E4,200,Bounce,2024-02-01T00:00:00Z,4
E4,200,Bounce,2024-03-01T00:00:00Z,1
E4,200,Bounce,2024-04-01T00:00:00Z,1
E4,200,Bounce,2024-05-01T00:00:00Z,3
E4,200,Bounce,2024-08-01T00:00:00Z,1
E4,200,Bounce,2024-09-01T00:00:00Z,2
E4,200,Bounce,2024-10-01T00:00:00Z,2
E4,200,Bounce,2024-11-01T00:00:00Z,2
E4,200,Bounce,2024-12-01T00:00:00Z,1
E4,200,Bounce,2025-01-01T00:00:00Z,3
E4,200,Bounce,2025-02-01T00:00:00Z,1
E4,200,Bounce,2025-03-01T00:00:00Z,3
E4,200,Bounce,2025-04-01T00:00:00Z,1
E4,200,Bounce,2025-06-01T00:00:00Z,1
E4,200,Bounce,2025-07-01T00:00:00Z,1
E4,200,Crossing,2024-02-01T00:00:00Z,29
E4,200,Crossing,2024-03-01T00:00:00Z,28
E4,200,Crossing,2024-04-01T00:00:00Z,10
E4,200,Crossing,2024-05-01T00:00:00Z,26
E4,200,Crossing,2024-06-01T00:00:00Z,35
E4,200,Crossing,2024-07-01T00:00:00Z,9
E4,200,Crossing,2024-08-01T00:00:00Z,10
E4,200,Crossing,2024-09-01T00:00:00Z,18
E4,200,Crossing,2024-10-01T00:00:00Z,8
E4,200,Crossing,2024-11-01T00:00:00Z,14
E4,200,Crossing,2024-12-01T00:00:00Z,26
E4,200,Crossing,2025-01-01T00:00:00Z,12
E4,200,Crossing,2025-02-01T00:00:00Z,19
E4,200,Crossing,2025-03-01T00:00:00Z,18
E4,200,Crossing,2025-04-01T00:00:00Z,19
E4,200,Crossing,2025-05-01T00:00:00Z,11
E4,200,Crossing,2025-06-01T00:00:00Z,27
E4,200,Crossing,2025-07-01T00:00:00Z,19
